id,idRoutine,idRepeat,lastIterationDateTime,isEventVisible,createdAt,updatedAt,isRecommended
8,3,40,2022-05-22 00:00:00,1,2022-01-08 18:11:36.419,2022-03-22 09:22:47.366157,0
7,1,19,2022-05-22 00:00:00,1,2022-01-07 17:43:32.227,2022-03-22 09:23:27.339154,0
9,5,47,2022-03-25 00:00:00,1,2022-03-22 10:13:06.093,2022-03-22 14:53:17.763913,0
