id,text,isAllDay,isRecommended,isSynced,idGoogleEvent,createdAt,updatedAt,endAt,startAt,idType
1190,Morning Joy,0,0,0,,2022-01-08 18:46:05.736,2022-01-08 18:46:05.736,2022-02-16 08:00:00,2022-02-16 06:00:00,125
1191,Morning Joy,0,0,0,,2022-01-08 18:46:05.747,2022-01-08 18:46:05.747,2022-02-17 08:00:00,2022-02-17 06:00:00,125
1192,Morning Joy,0,0,0,,2022-01-08 18:46:05.759,2022-01-08 18:46:05.759,2022-02-18 08:00:00,2022-02-18 06:00:00,125
1193,Morning Joy,0,0,0,,2022-01-08 18:46:05.772,2022-01-08 18:46:05.772,2022-02-21 08:00:00,2022-02-21 06:00:00,125
1194,Morning Joy,0,0,0,,2022-01-08 18:46:05.784,2022-01-08 18:46:05.784,2022-02-22 08:00:00,2022-02-22 06:00:00,125
1195,Morning Joy,0,0,0,,2022-01-08 18:46:05.796,2022-01-08 18:46:05.796,2022-02-23 08:00:00,2022-02-23 06:00:00,125
1196,Morning Joy,0,0,0,,2022-01-08 18:46:05.82,2022-01-08 18:46:05.82,2022-02-24 08:00:00,2022-02-24 06:00:00,125
1197,Morning Joy,0,0,0,,2022-01-08 18:46:05.858,2022-01-08 18:46:05.858,2022-02-25 08:00:00,2022-02-25 06:00:00,125
1198,Morning Joy,0,0,0,,2022-01-08 18:46:05.887,2022-01-08 18:46:05.887,2022-02-28 08:00:00,2022-02-28 06:00:00,125
1199,Morning Joy,0,0,0,,2022-01-08 18:46:05.903,2022-01-08 18:46:05.903,2022-03-01 08:00:00,2022-03-01 06:00:00,125
1200,Morning Joy,0,0,0,,2022-01-08 18:46:05.917,2022-01-08 18:46:05.917,2022-03-02 08:00:00,2022-03-02 06:00:00,125
1201,Morning Joy,0,0,0,,2022-01-08 18:46:05.931,2022-01-08 18:46:05.931,2022-03-03 08:00:00,2022-03-03 06:00:00,125
1202,Morning Joy,0,0,0,,2022-01-08 18:46:05.944,2022-01-08 18:46:05.944,2022-03-04 08:00:00,2022-03-04 06:00:00,125
1203,Morning Joy,0,0,0,,2022-01-08 18:46:05.956,2022-01-08 18:46:05.956,2022-03-07 08:00:00,2022-03-07 06:00:00,125
1204,Morning Joy,0,0,0,,2022-01-08 18:46:05.969,2022-01-08 18:46:05.969,2022-03-08 08:00:00,2022-03-08 06:00:00,125
1205,Morning Joy,0,0,0,,2022-01-08 18:46:05.981,2022-01-08 18:46:05.981,2022-03-09 08:00:00,2022-03-09 06:00:00,125
1206,Morning Joy,0,0,0,,2022-01-08 18:46:05.994,2022-01-08 18:46:05.994,2022-03-10 08:00:00,2022-03-10 06:00:00,125
1207,Morning Joy,0,0,0,,2022-01-08 18:46:06.007,2022-01-08 18:46:06.007,2022-03-11 08:00:00,2022-03-11 06:00:00,125
1208,Night Routine,0,0,0,,2022-01-08 18:46:13.713,2022-01-08 18:46:13.713,2022-01-08 22:00:00,2022-01-08 21:00:00,127
1209,Night Routine,0,0,0,,2022-01-08 18:46:13.725,2022-01-08 18:46:13.725,2022-01-09 22:00:00,2022-01-09 21:00:00,127
1210,Night Routine,0,0,0,,2022-01-08 18:46:13.737,2022-01-08 18:46:13.737,2022-01-10 22:00:00,2022-01-10 21:00:00,127
1211,Night Routine,0,0,0,,2022-01-08 18:46:13.75,2022-01-08 18:46:13.749,2022-01-11 22:00:00,2022-01-11 21:00:00,127
1212,Night Routine,0,0,0,,2022-01-08 18:46:13.762,2022-01-08 18:46:13.762,2022-01-12 22:00:00,2022-01-12 21:00:00,127
1213,Night Routine,0,0,0,,2022-01-08 18:46:13.776,2022-01-08 18:46:13.776,2022-01-13 22:00:00,2022-01-13 21:00:00,127
1214,Night Routine,0,0,0,,2022-01-08 18:46:13.79,2022-01-08 18:46:13.79,2022-01-14 22:00:00,2022-01-14 21:00:00,127
1215,Night Routine,0,0,0,,2022-01-08 18:46:13.803,2022-01-08 18:46:13.802,2022-01-15 22:00:00,2022-01-15 21:00:00,127
1216,Night Routine,0,0,0,,2022-01-08 18:46:13.815,2022-01-08 18:46:13.815,2022-01-16 22:00:00,2022-01-16 21:00:00,127
1217,Night Routine,0,0,0,,2022-01-08 18:46:13.827,2022-01-08 18:46:13.827,2022-01-17 22:00:00,2022-01-17 21:00:00,127
1218,Night Routine,0,0,0,,2022-01-08 18:46:13.84,2022-01-08 18:46:13.84,2022-01-18 22:00:00,2022-01-18 21:00:00,127
1219,Night Routine,0,0,0,,2022-01-08 18:46:13.853,2022-01-08 18:46:13.853,2022-01-19 22:00:00,2022-01-19 21:00:00,127
1220,Night Routine,0,0,0,,2022-01-08 18:46:13.865,2022-01-08 18:46:13.865,2022-01-20 22:00:00,2022-01-20 21:00:00,127
1221,Night Routine,0,0,0,,2022-01-08 18:46:13.877,2022-01-08 18:46:13.877,2022-01-21 22:00:00,2022-01-21 21:00:00,127
1222,Night Routine,0,0,0,,2022-01-08 18:46:13.889,2022-01-08 18:46:13.889,2022-01-22 22:00:00,2022-01-22 21:00:00,127
1223,Night Routine,0,0,0,,2022-01-08 18:46:13.902,2022-01-08 18:46:13.902,2022-01-23 22:00:00,2022-01-23 21:00:00,127
1224,Night Routine,0,0,0,,2022-01-08 18:46:13.914,2022-01-08 18:46:13.914,2022-01-24 22:00:00,2022-01-24 21:00:00,127
1225,Night Routine,0,0,0,,2022-01-08 18:46:13.927,2022-01-08 18:46:13.926,2022-01-25 22:00:00,2022-01-25 21:00:00,127
1226,Night Routine,0,0,0,,2022-01-08 18:46:13.939,2022-01-08 18:46:13.939,2022-01-26 22:00:00,2022-01-26 21:00:00,127
1227,Night Routine,0,0,0,,2022-01-08 18:46:13.952,2022-01-08 18:46:13.952,2022-01-27 22:00:00,2022-01-27 21:00:00,127
1228,Night Routine,0,0,0,,2022-01-08 18:46:13.964,2022-01-08 18:46:13.964,2022-01-28 22:00:00,2022-01-28 21:00:00,127
1229,Night Routine,0,0,0,,2022-01-08 18:46:13.976,2022-01-08 18:46:13.976,2022-01-29 22:00:00,2022-01-29 21:00:00,127
1230,Night Routine,0,0,0,,2022-01-08 18:46:13.989,2022-01-08 18:46:13.989,2022-01-30 22:00:00,2022-01-30 21:00:00,127
1231,Night Routine,0,0,0,,2022-01-08 18:46:14.005,2022-01-08 18:46:14.005,2022-01-31 22:00:00,2022-01-31 21:00:00,127
1232,Night Routine,0,0,0,,2022-01-08 18:46:14.02,2022-01-08 18:46:14.02,2022-02-01 22:00:00,2022-02-01 21:00:00,127
1233,Night Routine,0,0,0,,2022-01-08 18:46:14.032,2022-01-08 18:46:14.032,2022-02-02 22:00:00,2022-02-02 21:00:00,127
1234,Night Routine,0,0,0,,2022-01-08 18:46:14.045,2022-01-08 18:46:14.045,2022-02-03 22:00:00,2022-02-03 21:00:00,127
1235,Night Routine,0,0,0,,2022-01-08 18:46:14.058,2022-01-08 18:46:14.058,2022-02-04 22:00:00,2022-02-04 21:00:00,127
1236,Night Routine,0,0,0,,2022-01-08 18:46:14.071,2022-01-08 18:46:14.071,2022-02-05 22:00:00,2022-02-05 21:00:00,127
1237,Night Routine,0,0,0,,2022-01-08 18:46:14.083,2022-01-08 18:46:14.083,2022-02-06 22:00:00,2022-02-06 21:00:00,127
1238,Night Routine,0,0,0,,2022-01-08 18:46:14.095,2022-01-08 18:46:14.095,2022-02-07 22:00:00,2022-02-07 21:00:00,127
1239,Night Routine,0,0,0,,2022-01-08 18:46:14.107,2022-01-08 18:46:14.107,2022-02-08 22:00:00,2022-02-08 21:00:00,127
1240,Night Routine,0,0,0,,2022-01-08 18:46:14.12,2022-01-08 18:46:14.12,2022-02-09 22:00:00,2022-02-09 21:00:00,127
1241,Night Routine,0,0,0,,2022-01-08 18:46:14.132,2022-01-08 18:46:14.132,2022-02-10 22:00:00,2022-02-10 21:00:00,127
1242,Night Routine,0,0,0,,2022-01-08 18:46:14.144,2022-01-08 18:46:14.144,2022-02-11 22:00:00,2022-02-11 21:00:00,127
1243,Night Routine,0,0,0,,2022-01-08 18:46:14.156,2022-01-08 18:46:14.156,2022-02-12 22:00:00,2022-02-12 21:00:00,127
1244,Night Routine,0,0,0,,2022-01-08 18:46:14.169,2022-01-08 18:46:14.169,2022-02-13 22:00:00,2022-02-13 21:00:00,127
1245,Night Routine,0,0,0,,2022-01-08 18:46:14.181,2022-01-08 18:46:14.181,2022-02-14 22:00:00,2022-02-14 21:00:00,127
1246,Night Routine,0,0,0,,2022-01-08 18:46:14.194,2022-01-08 18:46:14.194,2022-02-15 22:00:00,2022-02-15 21:00:00,127
1247,Night Routine,0,0,0,,2022-01-08 18:46:14.206,2022-01-08 18:46:14.206,2022-02-16 22:00:00,2022-02-16 21:00:00,127
1248,Night Routine,0,0,0,,2022-01-08 18:46:14.219,2022-01-08 18:46:14.219,2022-02-17 22:00:00,2022-02-17 21:00:00,127
1249,Night Routine,0,0,0,,2022-01-08 18:46:14.231,2022-01-08 18:46:14.231,2022-02-18 22:00:00,2022-02-18 21:00:00,127
1250,Night Routine,0,0,0,,2022-01-08 18:46:14.243,2022-01-08 18:46:14.243,2022-02-19 22:00:00,2022-02-19 21:00:00,127
1251,Night Routine,0,0,0,,2022-01-08 18:46:14.256,2022-01-08 18:46:14.256,2022-02-20 22:00:00,2022-02-20 21:00:00,127
1252,Night Routine,0,0,0,,2022-01-08 18:46:14.269,2022-01-08 18:46:14.269,2022-02-21 22:00:00,2022-02-21 21:00:00,127
1253,Night Routine,0,0,0,,2022-01-08 18:46:14.283,2022-01-08 18:46:14.283,2022-02-22 22:00:00,2022-02-22 21:00:00,127
1254,Night Routine,0,0,0,,2022-01-08 18:46:14.295,2022-01-08 18:46:14.295,2022-02-23 22:00:00,2022-02-23 21:00:00,127
1255,Night Routine,0,0,0,,2022-01-08 18:46:14.308,2022-01-08 18:46:14.308,2022-02-24 22:00:00,2022-02-24 21:00:00,127
1256,Night Routine,0,0,0,,2022-01-08 18:46:14.321,2022-01-08 18:46:14.321,2022-02-25 22:00:00,2022-02-25 21:00:00,127
1257,Night Routine,0,0,0,,2022-01-08 18:46:14.333,2022-01-08 18:46:14.333,2022-02-26 22:00:00,2022-02-26 21:00:00,127
1258,Night Routine,0,0,0,,2022-01-08 18:46:14.346,2022-01-08 18:46:14.346,2022-02-27 22:00:00,2022-02-27 21:00:00,127
1259,Night Routine,0,0,0,,2022-01-08 18:46:14.358,2022-01-08 18:46:14.358,2022-02-28 22:00:00,2022-02-28 21:00:00,127
1260,Night Routine,0,0,0,,2022-01-08 18:46:14.373,2022-01-08 18:46:14.373,2022-03-01 22:00:00,2022-03-01 21:00:00,127
1261,Night Routine,0,0,0,,2022-01-08 18:46:14.386,2022-01-08 18:46:14.386,2022-03-02 22:00:00,2022-03-02 21:00:00,127
1262,Night Routine,0,0,0,,2022-01-08 18:46:14.398,2022-01-08 18:46:14.398,2022-03-03 22:00:00,2022-03-03 21:00:00,127
1263,Night Routine,0,0,0,,2022-01-08 18:46:14.411,2022-01-08 18:46:14.411,2022-03-04 22:00:00,2022-03-04 21:00:00,127
1264,Night Routine,0,0,0,,2022-01-08 18:46:14.424,2022-01-08 18:46:14.424,2022-03-05 22:00:00,2022-03-05 21:00:00,127
1265,Night Routine,0,0,0,,2022-01-08 18:46:14.437,2022-01-08 18:46:14.437,2022-03-06 22:00:00,2022-03-06 21:00:00,127
