67|121|80|94||2021-11-04 14:41:29.104-04|2021-11-04 14:41:29.104-04
68|122|80|95||2021-11-05 07:18:22.137-04|2021-11-05 07:18:22.137-04
69|123|80|96||2021-11-05 07:21:18.813-04|2021-11-05 07:21:18.813-04
70|124|80|97||2021-11-09 15:13:18.685-05|2021-11-09 15:13:18.685-05
71|125|80|98||2021-11-09 22:38:57.477-05|2021-11-09 22:38:57.477-05
72|126|80|99||2021-11-09 22:40:02.136-05|2021-11-09 22:40:02.136-05
73|127|80|100||2021-11-10 08:26:47.235-05|2021-11-10 08:26:47.235-05
74|128|80|101||2021-11-10 08:27:20.89-05|2021-11-10 08:27:20.89-05
75|129|80|102||2021-11-10 08:54:37.813-05|2021-11-10 08:54:37.813-05
76|130|80|103||2021-11-11 12:18:57.416-05|2021-11-11 12:18:57.416-05
77|131|80|104||2021-11-14 12:26:56.024-05|2021-11-14 12:26:56.024-05
78|134|80|106|105|2021-12-19 20:52:07.716-05|2021-12-19 20:52:07.716-05
79|135|80|108|107|2021-12-19 20:52:43.779-05|2021-12-19 20:52:43.779-05
80|133|80|110|109|2021-12-19 20:53:14.126-05|2021-12-19 20:53:14.126-05
81|132|80|112|111|2021-12-19 20:53:42.346-05|2021-12-19 20:53:42.346-05
82|136|80|113||2021-12-20 16:40:05.815-05|2021-12-20 16:40:05.815-05
83|137|80|116||2022-01-05 12:39:30.031-05|2022-01-05 12:39:30.031-05
84|138|80|117||2022-01-07 11:27:36.764-05|2022-01-07 11:27:36.764-05
85|139|80|118||2022-01-07 11:38:45.749-05|2022-01-07 11:38:45.749-05
86|140|80|119||2022-01-07 11:41:32.467-05|2022-01-07 11:41:32.467-05
87|141|80|120||2022-01-07 11:41:56.951-05|2022-01-07 11:41:56.951-05
88|142|80|185|184|2022-01-08 13:04:45.213-05|2022-01-08 13:04:45.213-05
89|143|80|187|186|2022-01-08 14:13:32.965-05|2022-01-08 14:13:32.965-05
90|145|80|191||2022-01-08 16:16:01.197-05|2022-01-08 16:16:01.197-05
91|146|80|192||2022-01-08 16:16:34.957-05|2022-01-08 16:16:34.957-05
92|151|80|208||2022-01-08 19:40:20.883-05|2022-01-08 19:40:20.883-05
93|152|80|209||2022-01-10 11:23:16.662-05|2022-01-10 11:23:16.662-05
94|153|80|210||2022-01-11 13:31:34.033-05|2022-01-11 13:31:34.033-05
95|154|80|211||2022-01-12 09:32:23.202-05|2022-01-12 09:32:23.202-05
96|155|80|212||2022-01-14 11:52:39.648-05|2022-01-14 11:52:39.648-05
97|156|80|213||2022-01-14 11:52:55.121-05|2022-01-14 11:52:55.121-05
98|157|80|214||2022-01-14 13:27:30.903-05|2022-01-14 13:27:30.903-05
99|162|80|216|215|2022-01-16 14:05:58.232-05|2022-01-16 14:05:58.232-05
100|166|80|218|217|2022-01-16 14:22:57.568-05|2022-01-16 14:22:57.568-05
101|167|80|220|219|2022-01-16 14:23:23.761-05|2022-01-16 14:23:23.761-05
102|168|80|222|221|2022-01-16 14:24:45.928-05|2022-01-16 14:24:45.928-05
103|169|80|224|223|2022-01-16 14:24:57.974-05|2022-01-16 14:24:57.974-05
104|170|80|226|225|2022-01-16 14:25:15.18-05|2022-01-16 14:25:15.18-05
105|171|80|228|227|2022-01-16 14:25:28.908-05|2022-01-16 14:25:28.908-05
106|172|80|230|229|2022-01-16 14:25:53.783-05|2022-01-16 14:25:53.783-05
107|177|80|231||2022-01-18 09:19:06.722-05|2022-01-18 09:19:06.722-05
108|178|80|232||2022-01-19 09:37:08.825-05|2022-01-19 09:37:08.824-05
109|182|80|234|233|2022-01-24 11:13:37.323-05|2022-01-24 11:13:37.323-05
110|181|80|236|235|2022-01-24 11:16:45.931-05|2022-01-24 11:16:45.931-05
111|180|80|238|237|2022-01-24 11:17:25.295-05|2022-01-24 11:17:25.295-05
112|179|80|240|239|2022-01-24 11:17:33.785-05|2022-01-24 11:17:33.785-05
113|183|80|242|241|2022-01-24 11:20:31.227-05|2022-01-24 11:20:31.227-05
114|184|80|244|243|2022-01-24 11:21:48.947-05|2022-01-24 11:21:48.947-05
115|185|80|246|245|2022-01-24 11:22:53.581-05|2022-01-24 11:22:53.581-05
116|186|80|248|247|2022-01-24 11:24:01.851-05|2022-01-24 11:24:01.851-05
117|187|80|250|249|2022-01-24 11:29:09.188-05|2022-01-24 11:29:09.188-05
118|188|80|252|251|2022-01-24 11:29:19.268-05|2022-01-24 11:29:19.268-05
119|189|80|254|253|2022-01-24 11:30:37.647-05|2022-01-24 11:30:37.647-05
120|190|80|255||2022-01-24 11:31:33.168-05|2022-01-24 11:31:33.168-05
121|191|80|256||2022-01-24 11:47:30.065-05|2022-01-24 11:47:30.065-05
122|192|80|257||2022-02-10 12:01:01.178-05|2022-02-10 12:01:01.178-05
123|193|80|258||2022-02-13 11:56:18.611-05|2022-02-13 11:56:18.611-05
124|194|80|259||2022-02-13 11:56:55.926-05|2022-02-13 11:56:55.926-05
125|195|80|260||2022-02-13 12:13:29.841-05|2022-02-13 12:13:29.841-05
126|196|80|261||2022-02-13 14:20:08.958-05|2022-02-13 14:20:08.958-05
127|197|80|262||2022-02-13 17:10:25.424-05|2022-02-13 17:10:25.424-05
128|198|80|263||2022-02-17 09:53:22.684-05|2022-02-17 09:53:22.684-05
129|199|80|264||2022-02-17 09:54:26.734-05|2022-02-17 09:54:26.734-05
130|200|80|265||2022-02-23 11:00:04.121-05|2022-02-23 11:00:04.121-05
131|201|80|266||2022-02-23 13:39:59.965-05|2022-02-23 13:39:59.965-05
132|202|80|267||2022-02-23 14:08:38.586-05|2022-02-23 14:08:38.586-05
133|203|80|268||2022-02-24 07:53:40.989-05|2022-02-24 07:53:40.989-05
134|204|80|269||2022-02-24 07:54:53.679-05|2022-02-24 07:54:53.679-05
135|205|80|270||2022-02-24 11:13:31.968-05|2022-02-24 11:13:31.968-05
136|206|80|271||2022-02-24 11:20:01.506-05|2022-02-24 11:20:01.506-05
137|208|80|272||2022-03-08 08:19:53.289-05|2022-03-08 08:19:53.289-05
138|209|80|273||2022-03-08 08:20:20.571-05|2022-03-08 08:20:20.571-05
139|210|80|274||2022-03-08 08:20:49.108-05|2022-03-08 08:20:49.108-05
140|211|80|275||2022-03-08 08:35:36.281-05|2022-03-08 08:35:36.281-05
141|212|80|276||2022-03-08 10:24:43.88-05|2022-03-08 10:24:43.88-05
142|213|80|277||2022-03-08 10:24:54.075-05|2022-03-08 10:24:54.075-05
143|214|80|278||2022-03-08 10:24:59.993-05|2022-03-08 10:24:59.993-05
144|218|80|283|282|2022-03-20 11:45:57.447-04|2022-03-20 11:45:57.447-04
