1|Physical||2021-07-29 12:23:50.029915-04|2021-07-29 12:23:50.029915-04
2|Social||2021-07-29 12:23:50.029915-04|2021-07-29 12:23:50.029915-04
3|Mental||2021-07-29 12:23:50.029915-04|2021-07-29 12:23:50.029915-04
4|Emotional||2021-07-29 12:23:50.029915-04|2021-07-29 12:23:50.029915-04
5|Financial||2021-07-29 12:23:50.029915-04|2021-07-29 12:23:50.029915-04
