59|Go on at least 1 trip||f|2022-05-05 18:32:12.392-04|2022-05-05 18:32:12.392-04|||
60|Learn to draw||f|2022-05-05 18:33:09.419-04|2022-05-05 18:33:09.419-04||19|
46|View Goal by timeframe, in Item Panel||f|2022-03-24 21:10:56.358-04|2022-03-24 21:11:20.208566-04|||
61|Learn Spanish||f|2022-05-05 18:35:27.076-04|2022-05-05 18:35:27.076-04||19|
47|Draw 2 heads||f|2022-03-25 09:43:57.313-04|2022-03-25 09:47:09.347913-04|||
27|Create Astra's NFT collection||f|2022-01-16 12:05:03.612-05|2022-03-26 11:19:26.180991-04|||
45|Set up dating profiles||f|2022-03-06 09:54:33.529-05|2022-04-07 17:14:58.674093-04|||
81|Unleash my sense of humor||f|2022-05-05 18:57:28.331-04|2022-05-05 18:57:28.331-04||19|
49|Go on 1 trip every month||f|2022-04-14 17:47:04.601-04|2022-04-14 17:47:04.601-04||19|
6|Learn to draw||f|2021-08-20 19:17:24.873-04|2022-04-14 17:49:40.974121-04||19|
7|Learn astrology||f|2021-08-20 19:17:42.873-04|2022-04-14 17:49:45.417671-04||19|
5|Give Back||f|2021-08-05 23:46:08.564-04|2022-04-14 17:49:50.228274-04||20|
82|Ability to meditate for unlimited amount of time||f|2022-05-05 18:57:45.374-04|2022-05-05 18:57:45.374-04||19|
62|Learn about astrology||f|2022-05-05 18:36:23.727-04|2022-05-05 18:36:23.727-04||19|
63|Learn about chakras||f|2022-05-05 18:48:41.405-04|2022-05-05 18:48:41.405-04||19|
64|Learn to play the guitar||f|2022-05-05 18:49:07.597-04|2022-05-05 18:49:07.597-04||19|
65|Learn to play the piano||f|2022-05-05 18:49:21.672-04|2022-05-05 18:49:21.672-04||19|
66|Become a good writer||f|2022-05-05 18:49:34.265-04|2022-05-05 18:49:34.265-04||19|
67|Get my shit together||f|2022-05-05 18:49:47.16-04|2022-05-05 18:49:47.16-04||19|
68|Ability to descride ANYTHING with 10 adjectives||f|2022-05-05 18:50:02.341-04|2022-05-05 18:50:02.341-04||19|
69|Get a degree in psychology and/or neuroscience||f|2022-05-05 18:50:26.186-04|2022-05-05 18:50:26.186-04||19|
70|Become cultured||f|2022-05-05 18:50:45.949-04|2022-05-05 18:50:45.949-04||19|
71|Become a wilderness first responder||f|2022-05-05 18:51:15.976-04|2022-05-05 18:51:15.976-04||19|
72|Continually improve reading skills||f|2022-05-05 18:51:36.564-04|2022-05-05 18:51:36.564-04||19|
73|Always be prepared||f|2022-05-05 18:51:54.144-04|2022-05-05 18:51:54.144-04||19|
