59|Millisecondly||Repetition|2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
60|Secondly||Repetition|2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
61|Minutley||Repetition|2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
62|Hourly||Repetition|2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
63|Daily||Repetition|2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
64|Workdaily||Repetition|2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
65|Weekdaily||Repetition|2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
66|Weekendaily||Repetition|2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
67|Weekendly||Repetition|2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
68|Weekly||Repetition|2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
69|Monthly||Repetition|2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
70|Seasonally||Repetition|2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
71|Quarterly||Repetition|2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
72|Tri-Annually||Repetition|2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
73|Bi-Annually||Repetition|2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
74|Semi-Anually||Repetition|2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
75|Annually||Repetition|2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
76|Milestonly||Repetition|2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
77|Lifely||Repetition|2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
78|Time||Root|2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
79|Time Type|time-type|Time|2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
80|Scheduled||Time Type|2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
81|Recommended||Time Type|2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
82|Due||Time Type|2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
83|Endpoint||Time|2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
84|Start||Endpoint|2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
85|End||Endpoint|2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
86|Moment||Time|2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
87|Date||Moment|2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
88|Time||Moment|2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
89|DateTime||Moment|2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
90|Point In Time||Moment|2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
91|Point In Time Index||Moment|2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
92|Day of Week||Point In Time|2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
93|Day of Month||Point In Time|2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
94|Sunday||Day of Week|2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
95|Monday||Day of Week|2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
96|Tuesday||Day of Week|2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
97|Wednesday||Day of Week|2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
98|Thursday||Day of Week|2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
99|Friday||Day of Week|2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
100|Saturday||Day of Week|2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
101|Meal||Root|2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
102|Recommended||Meal - Recommended meals|2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
103|Consumed||Meal - consumed meals|2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
104|Saved||Meal - Meals that are saved so they can be copied later|2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
105|Control||Root - Input of field where user can manipulate data|2021-07-26 20:05:58.634276-04|2021-07-26 20:05:58.634276-04
