55|80|84|87|25|2021-08-09 00:00:00-04|2021-08-09 15:51:17.476-04|2021-08-09 15:51:17.476-04
56|81|84|89|25|2021-08-09 00:00:00-04|2021-08-09 16:21:49.613-04|2021-08-09 16:21:49.614-04
57|81|84|89|25|2021-08-09 00:00:00-04|2021-08-09 16:37:22.69-04|2021-08-09 16:37:22.69-04
58|81|84|89|25|2021-08-09 00:00:00-04|2021-08-09 16:37:27.399-04|2021-08-09 16:37:27.399-04
59|81|84|89|25|2021-08-09 00:00:00-04|2021-08-09 16:37:51.75-04|2021-08-09 16:37:51.75-04
60|81|84|89|25|2021-08-09 00:00:00-04|2021-08-09 20:53:03.12-04|2021-08-09 20:53:03.12-04
61|81|84|89|25|2021-08-09 00:00:00-04|2021-08-09 20:54:04.598-04|2021-08-09 20:54:04.598-04
62|80|84|87|25|2021-08-23 00:00:00-04|2021-08-09 23:52:36.049-04|2021-08-09 23:52:36.049-04
63|81|84|89|25|2021-08-11 00:00:00-04|2021-08-11 13:29:27.041-04|2021-08-11 13:29:27.041-04
64|81|84|89|25|2021-08-11 00:00:00-04|2021-08-11 13:30:43.245-04|2021-08-11 13:30:43.245-04
65|81|84|89|25|2021-08-11 00:00:00-04|2021-08-11 13:57:41.482-04|2021-08-11 13:57:41.482-04
66|81|84|89|25|2021-08-11 00:00:00-04|2021-08-11 13:58:08.448-04|2021-08-11 13:58:08.448-04
67|81|84|89|25|2021-08-11 00:00:00-04|2021-08-11 13:58:25.361-04|2021-08-11 13:58:25.361-04
68|81|84|89|25|2021-08-14 00:00:00-04|2021-08-14 00:49:48.596-04|2021-08-14 00:49:48.596-04
69|81|84|89|25|2021-08-15 00:00:00-04|2021-08-15 18:57:47.584-04|2021-08-15 18:57:47.584-04
70|81|84|89|25|2021-08-15 00:00:00-04|2021-08-15 18:59:18.484-04|2021-08-15 18:59:18.484-04
71|80|84|87|25|2021-08-21 00:00:00-04|2021-08-21 00:52:04.359-04|2021-08-21 00:52:04.359-04
72|80|84|87|25|2021-08-21 00:00:00-04|2021-08-21 00:52:09.194-04|2021-08-21 00:52:09.194-04
73|80|84|87|25|2021-08-21 00:00:00-04|2021-08-21 00:52:18.887-04|2021-08-21 00:52:18.887-04
74|81|84|89|25|2021-08-21 00:00:00-04|2021-08-21 12:06:43.862-04|2021-08-21 12:06:43.862-04
75|81|84|89|25|2021-08-21 00:00:00-04|2021-08-21 12:07:11.709-04|2021-08-21 12:07:11.709-04
76|81|84|89|25|2021-08-21 00:00:00-04|2021-08-21 12:07:29.232-04|2021-08-21 12:07:29.232-04
77|81|84|89|25|2021-08-21 00:00:00-04|2021-08-21 14:00:05.275-04|2021-08-21 14:00:05.275-04
78|81|84|89|25|2021-08-21 00:00:00-04|2021-08-21 14:00:37.227-04|2021-08-21 14:00:37.226-04
79|81|84|89|25|2021-09-01 00:00:00-04|2021-09-01 11:00:19.012-04|2021-09-01 11:00:19.012-04
80|81|84|89|25|2021-09-01 00:00:00-04|2021-09-01 11:00:37.049-04|2021-09-01 11:00:37.049-04
81|81|84|89|25|2021-09-01 00:00:00-04|2021-09-01 11:00:54.658-04|2021-09-01 11:00:54.658-04
82|81|84|89|25|2021-09-01 00:00:00-04|2021-09-01 14:55:46.08-04|2021-09-01 14:55:46.08-04
83|81|84|89|25|2021-09-01 00:00:00-04|2021-09-01 14:55:49.212-04|2021-09-01 14:55:49.212-04
84|80|84|87|25|2021-09-13 00:00:00-04|2021-09-13 14:02:59.582-04|2021-09-13 14:02:59.583-04
85|81|84|89|25|2021-09-21 00:00:00-04|2021-09-21 21:01:15.955-04|2021-09-21 21:01:15.955-04
86|80|85|87|25|2021-11-07 00:00:00-04|2021-11-03 12:02:44.323-04|2021-11-03 12:02:44.323-04
87|80|84|87|25|2021-11-03 00:00:00-04|2021-11-03 12:02:44.322-04|2021-11-03 12:02:44.322-04
88|81|84|89|25|2021-11-03 00:00:00-04|2021-11-03 12:04:01.574-04|2021-11-03 12:04:01.574-04
89|81|84|89|25|2021-11-03 00:00:00-04|2021-11-03 12:06:56.958-04|2021-11-03 12:06:56.958-04
90|81|84|89|25|2021-11-04 00:00:00-04|2021-11-04 11:20:36.177-04|2021-11-04 11:20:36.177-04
91|81|84|89|25|2021-11-04 00:00:00-04|2021-11-04 11:20:39.628-04|2021-11-04 11:20:39.628-04
92|81|84|89|25|2021-11-04 00:00:00-04|2021-11-04 11:22:46.358-04|2021-11-04 11:22:46.358-04
93|81|84|89|25|2021-11-04 00:00:00-04|2021-11-04 14:41:24.433-04|2021-11-04 14:41:24.433-04
94|81|84|89|25|2021-11-04 00:00:00-04|2021-11-04 14:41:29.098-04|2021-11-04 14:41:29.098-04
95|81|84|89|25|2021-11-04 00:00:00-04|2021-11-05 07:18:22.129-04|2021-11-05 07:18:22.129-04
96|81|84|89|25|2021-11-04 00:00:00-04|2021-11-05 07:21:18.807-04|2021-11-05 07:21:18.807-04
97|81|84|89|25|2021-11-09 00:00:00-05|2021-11-09 15:13:18.655-05|2021-11-09 15:13:18.655-05
98|81|84|89|25|2021-11-09 00:00:00-05|2021-11-09 22:38:57.469-05|2021-11-09 22:38:57.469-05
99|81|84|89|25|2021-11-09 00:00:00-05|2021-11-09 22:40:02.129-05|2021-11-09 22:40:02.129-05
100|81|84|89|25|2021-11-12 00:00:00-05|2021-11-10 08:26:47.226-05|2021-11-10 08:26:47.226-05
101|81|84|89|25|2021-11-12 00:00:00-05|2021-11-10 08:27:20.884-05|2021-11-10 08:27:20.884-05
102|81|84|89|25|2021-11-12 00:00:00-05|2021-11-10 08:54:37.794-05|2021-11-10 08:54:37.793-05
103|81|84|89|25|2021-11-11 00:00:00-05|2021-11-11 12:18:57.404-05|2021-11-11 12:18:57.404-05
104|81|84|89|25|2021-11-14 00:00:00-05|2021-11-14 12:26:55.488-05|2021-11-14 12:26:55.488-05
105|80|85|87|25|2021-12-24 00:00:00-05|2021-12-19 20:52:07.717-05|2021-12-19 20:52:07.717-05
106|80|84|87|25|2021-12-20 00:00:00-05|2021-12-19 20:52:07.716-05|2021-12-19 20:52:07.716-05
107|80|85|87|25|2021-12-24 00:00:00-05|2021-12-19 20:52:43.779-05|2021-12-19 20:52:43.779-05
108|80|84|87|25|2021-12-20 00:00:00-05|2021-12-19 20:52:43.779-05|2021-12-19 20:52:43.779-05
109|80|85|87|25|2021-12-24 00:00:00-05|2021-12-19 20:53:14.126-05|2021-12-19 20:53:14.126-05
110|80|84|87|25|2021-12-20 00:00:00-05|2021-12-19 20:53:14.126-05|2021-12-19 20:53:14.126-05
111|80|85|87|25|2021-12-24 00:00:00-05|2021-12-19 20:53:42.346-05|2021-12-19 20:53:42.346-05
112|80|84|87|25|2021-12-20 00:00:00-05|2021-12-19 20:53:42.346-05|2021-12-19 20:53:42.346-05
113|81|84|89|25|2021-12-20 00:00:00-05|2021-12-20 16:40:05.781-05|2021-12-20 16:40:05.781-05
114|80|84|88|25|2021-12-30 08:00:00-05|2021-12-30 01:19:28.134-05|2021-12-30 01:19:28.134-05
115|80|85|88|25|2021-12-30 10:00:00-05|2021-12-30 01:19:28.136-05|2021-12-30 01:19:28.136-05
116|81|84|89|25|2022-01-05 00:00:00-05|2022-01-05 12:39:29.955-05|2022-01-05 12:39:29.955-05
117|81|84|89|25|2022-01-07 00:00:00-05|2022-01-07 11:27:36.738-05|2022-01-07 11:27:36.738-05
118|81|84|89|25|2022-01-07 00:00:00-05|2022-01-07 11:38:45.734-05|2022-01-07 11:38:45.734-05
119|81|84|89|25|2022-01-07 00:00:00-05|2022-01-07 11:41:32.457-05|2022-01-07 11:41:32.457-05
120|81|84|89|25|2022-01-07 00:00:00-05|2022-01-07 11:41:56.942-05|2022-01-07 11:41:56.942-05
121|80|85|88|25|2021-12-30 10:00:00-05|2022-01-07 15:08:08.045-05|2022-01-07 15:08:08.045-05
122|80|84|88|25|2021-12-30 08:00:00-05|2022-01-07 15:08:08.045-05|2022-01-07 15:08:08.045-05
123|80|84|87|25|2021-07-28 00:00:00-04|2022-01-07 15:08:08.045-05|2022-01-07 15:08:08.045-05
124|80|85|88|25|2022-01-07 10:00:00-05|2022-01-07 16:31:18.133-05|2022-01-07 16:31:18.133-05
125|80|84|88|25|2022-01-07 08:00:00-05|2022-01-07 16:31:18.133-05|2022-01-07 16:31:18.133-05
126|80|84|87|25|2022-01-07 00:00:00-05|2022-01-07 16:31:18.133-05|2022-01-07 16:31:18.133-05
127|80|85|88|25|2022-01-07 10:00:00-05|2022-01-07 16:39:46.955-05|2022-01-07 16:39:46.955-05
128|80|84|88|25|2022-01-07 08:00:00-05|2022-01-07 16:39:46.955-05|2022-01-07 16:39:46.955-05
129|80|84|87|25|2022-01-07 00:00:00-05|2022-01-07 16:39:46.954-05|2022-01-07 16:39:46.954-05
130|80|85|88|25|2022-01-07 10:00:00-05|2022-01-07 16:41:44.516-05|2022-01-07 16:41:44.516-05
131|80|84|88|25|2022-01-07 08:00:00-05|2022-01-07 16:41:44.516-05|2022-01-07 16:41:44.516-05
132|80|84|87|25|2022-01-07 00:00:00-05|2022-01-07 16:41:44.516-05|2022-01-07 16:41:44.516-05
133|80|85|88|25|2022-01-07 10:00:00-05|2022-01-07 16:42:42.131-05|2022-01-07 16:42:42.131-05
134|80|84|88|25|2022-01-07 08:00:00-05|2022-01-07 16:42:42.131-05|2022-01-07 16:42:42.131-05
135|80|84|87|25|2022-01-07 00:00:00-05|2022-01-07 16:42:42.13-05|2022-01-07 16:42:42.13-05
136|80|85|88|25|2022-01-07 10:00:00-05|2022-01-07 16:42:57.464-05|2022-01-07 16:42:57.464-05
137|80|84|88|25|2022-01-07 08:00:00-05|2022-01-07 16:42:57.463-05|2022-01-07 16:42:57.463-05
